COD,Turbine,Monopile,Jacket,GBF,Floating platform,Offshore Substation,Array cable,Export cable,WTIV,Blade,Nacelle,Tower,Transition piece
2022,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,42.76923077,32.76923077,12,0,0,2,125.5024,256,2,128.3076923,42.76923077,42.76923077,32.76923077
2024,338.3158802,229.4935359,89.67948718,29.14285714,0,10,862.253901,926.4136,5,1014.947641,338.3158802,338.3158802,229.4935359
2025,289.8461538,179.5064103,85.33974359,12,0,6,725.5871436,505.5,5,869.5384615,289.8461538,289.8461538,179.5064103
2026,243.7333333,160.7333333,57,11,0,7,520.27304,498.679,5,731.2,243.7333333,243.7333333,160.7333333
2027,193.64,97.21333333,96.06666667,5.36,0,5,417.6505013,526,4,580.92,193.64,193.64,97.21333333
2028,408.41127,226.7759995,89.65,46.23,34.34501409,9,1127.019423,778.6653,5,1225.23381,408.41127,408.41127,226.7759995
2029,219.6127526,150.2533333,15.24,10.24,68.67941926,7,579.8882745,900.2603,2,658.8382578,219.6127526,219.6127526,150.2533333
2030,381.9419319,262.0391793,33.17,9.72,68.67941926,10,1198.282352,889.905,4,1145.825796,381.9419319,381.9419319,262.0391793
2031,319.2064444,97.21947898,15.5,12.5,157.4210067,8,826.2548603,888,4,957.6193332,319.2064444,319.2064444,97.21947898
2032,356.1667976,193.5715267,78.28556524,38.76889858,57.54080713,12,1070.130029,1612.405,6,1068.500393,356.1667976,356.1667976,193.5715267
2033,398.1602198,138.7166667,35.725,29.725,206.9935532,13,1167.150405,1645,4,1194.48066,398.1602198,398.1602198,138.7166667
2034,274.5273123,101.6217567,22.00833333,17.00833333,142.8888889,9,806.1953111,1112.405,4,823.5819368,274.5273123,274.5273123,101.6217567
2035,301.3333333,35.93333333,9.7,7.7,258,10,1027.728,1110,2,904,301.3333333,301.3333333,35.93333333
